kitGroup,labourGroup,kitName,mainPart,hoursPanelAssembly,hoursWiring,hoursBusbarFabrication
MCCB,MCCB,"32A,TP,MCCB, Adjustable, 25KA-KIT",3VJ1003-3DB32-0AA0,,,
MCCB,MCCB,"40A,TP,MCCB, Adjustable, 25KA-KIT",3VJ1004-3DB32-0AA0,,,
MCCB,MCCB,"50A,TP,MCCB, Adjustable, 25KA-KIT",3VJ1005-3DB32-0AA0,,,
MCCB,MCCB,"63A,TP,MCCB, Adjustable 25KA-KIT",3VJ1006-3DB32-0AA0,,,
MCCB,MCCB,"80A,TP,MCCB, Adjustable, 25KA-KIT",3VJ1008-3DB32-0AA0,,,
MCCB,MCCB,"100A,TP,MCCB, Adjustable,25KA-KIT",3VJ1010-3DB32-0AA0,,,
MCCB,MCCB,"125A,TP,MCCB, Adjustable, 25KA-KIT",3VJ1012-3DB32-0AA0,,,
MCCB,MCCB,"20A,4P,MCCB, Adjustable, 25KA-KIT",3VJ1002-3EB42-0AA0,,,
MCCB,MCCB,"25A,4P,MCCB, Adjustable, 25KA-KIT",3VJ1092-3EB42-0AA0,,,
MCCB,MCCB,"32A,4P,MCCB, Adjustable, 25KA-KIT",3VJ1003-3EB42-0AA0,,,
MCCB,MCCB,"40A,4P,MCCB, Adjustable, 25KA-KIT",3VJ1004-3EB42-0AA0,,,
MCCB,MCCB,"50A,4P,MCCB, Adjustable, 25KA-KIT",3VJ1005-3EB42-0AA0,,,
MCCB,MCCB,"63A,4P,MCCB, Adjustable 25KA-KIT",3VJ1006-3EB42-0AA0,,,
MCCB,MCCB,"80A,4P,MCCB, Adjustable, 25KA-KIT",3VJ1008-3EB42-0AA0,,,
MCCB,MCCB,"100A,4P,MCCB, Adjustable,25KA-KIT",3VJ1010-3EB42-0AA0,,,
MCCB,MCCB,"125A,4P,MCCB, Adjustable, 25KA-KIT",3VJ1012-3EB42-0AA0,,,
MCCB,MCCB,"160A,TP,MCCB, Adjustable, 25KA-KIT",3VJ1216-3DB32-0AA0,,,
MCCB,MCCB,"200A,TP,MCCB, Adjustable, 25KA-KIT",3VJ1220-3DB32-0AA0,,,
MCCB,MCCB,"250A,TP,MCCB, Adjustable, 25KA-KIT",3VJ1225-3DB32-0AA0,,,
MCCB,MCCB,"160A,4P,MCCB, Adjustable, 25KA-KIT",3VJ1216-3EB42-0AA0,,,
MCCB,MCCB,"200A,4P,MCCB, Adjustable, 25KA-KIT",3VJ1220-3EB42-0AA0,,,
MCCB,MCCB,"250A,4P,MCCB, Adjustable, 25KA-KIT",3VJ1225-3EB42-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"320A,TP,MCCB, Adjustable, 25kA-INCOMER-KIT",3VJ1332-3DB32-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"400A,TP,MCCB, Adjustable, 25kA-INCOMER-KIT",3VJ1340-3DB32-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"320A,4P,MCCB, Adjustable, 25kA-INCOMER-KIT",3VJ1332-3EB42-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"400A,4P,MCCB, Adjustable, 25kA-INCOMER-KIT",3VJ1340-3EB42-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"320A,TP,MCCB, Adjustable, 36kA-INCOMER-KIT",3VJ1332-5DB32-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"400A,TP,MCCB, Adjustable, 36kA-INCOMER-KIT",3VJ1340-5DB32-0AA0,,,
